	Attribute	Value
0	AGER_TYP	[-1, 0]
1	ALTERSKATEGORIE_GROB	[-1, 0, 9]
2	ANREDE_KZ	[-1, 0]
3	CJT_GESAMTTYP	[0]
4	FINANZ_MINIMALIST	[-1]
5	FINANZ_SPARER	[-1]
6	FINANZ_VORSORGER	[-1]
7	FINANZ_ANLEGER	[-1]
8	FINANZ_UNAUFFAELLIGER	[-1]
9	FINANZ_HAUSBAUER	[-1]
10	FINANZTYP	[-1]
11	GEBURTSJAHR	[0]
12	GFK_URLAUBERTYP	[]
13	GREEN_AVANTGARDE	[]
14	HEALTH_TYP	[-1, 0]
15	LP_LEBENSPHASE_FEIN	[0]
16	LP_LEBENSPHASE_GROB	[0]
17	LP_FAMILIE_FEIN	[0]
18	LP_FAMILIE_GROB	[0]
19	LP_STATUS_FEIN	[0]
20	LP_STATUS_GROB	[0]
21	NATIONALITAET_KZ	[-1, 0]
22	PRAEGENDE_JUGENDJAHRE	[-1, 0]
23	RETOURTYP_BK_S	[0]
24	SEMIO_SOZ	[-1, 9]
25	SEMIO_FAM	[-1, 9]
26	SEMIO_REL	[-1, 9]
27	SEMIO_MAT	[-1, 9]
28	SEMIO_VERT	[-1, 9]
29	SEMIO_LUST	[-1, 9]
30	SEMIO_ERL	[-1, 9]
31	SEMIO_KULT	[-1, 9]
32	SEMIO_RAT	[-1, 9]
33	SEMIO_KRIT	[-1, 9]
34	SEMIO_DOM	[-1, 9]
35	SEMIO_KAEM	[-1, 9]
36	SEMIO_PFLICHT	[-1, 9]
37	SEMIO_TRADV	[-1, 9]
38	SHOPPER_TYP	[-1]
39	SOHO_KZ	[-1]
40	TITEL_KZ	[-1, 0]
41	VERS_TYP	[-1]
42	ZABEOTYP	[-1, 9]
43	ALTER_HH	[0]
44	ANZ_PERSONEN	[]
45	ANZ_TITEL	[]
46	HH_EINKOMMEN_SCORE	[-1, 0]
47	KK_KUNDENTYP	[-1]
48	W_KEIT_KIND_HH	[-1, 0]
49	WOHNDAUER_2008	[-1, 0]
50	ANZ_HAUSHALTE_AKTIV	[0]
51	ANZ_HH_TITEL	[]
52	GEBAEUDETYP	[-1, 0]
53	KONSUMNAEHE	[]
54	MIN_GEBAEUDEJAHR	[0]
55	OST_WEST_KZ	[-1]
56	WOHNLAGE	[-1]
57	CAMEO_DEUG_2015	[-1, 'X']
58	CAMEO_DEU_2015	['XX']
59	CAMEO_INTL_2015	[-1, 'XX']
60	KBA05_ANTG1	[-1]
61	KBA05_ANTG2	[-1]
62	KBA05_ANTG3	[-1]
63	KBA05_ANTG4	[-1]
64	KBA05_BAUMAX	[-1, 0]
65	KBA05_GBZ	[-1, 0]
66	BALLRAUM	[-1]
67	EWDICHTE	[-1]
68	INNENSTADT	[-1]
69	GEBAEUDETYP_RASTER	[]
70	KKK	[-1, 0]
71	MOBI_REGIO	[]
72	ONLINE_AFFINITAET	[]
73	REGIOTYP	[-1, 0]
74	KBA13_ANZAHL_PKW	[]
75	PLZ8_ANTG1	[-1]
76	PLZ8_ANTG2	[-1]
77	PLZ8_ANTG3	[-1]
78	PLZ8_ANTG4	[-1]
79	PLZ8_BAUMAX	[-1, 0]
80	PLZ8_HHZ	[-1]
81	PLZ8_GBZ	[-1]
82	ARBEIT	[-1, 9]
83	ORTSGR_KLS9	[-1, 0]
84	RELAT_AB	[-1, 9]
138	D19_BANKEN_ANZ_12	0
145	D19_BANKEN_ANZ_24	0
161	D19_BANKEN_DATUM	10
195	D19_BANKEN_OFFLINE_DATUM	10
205	D19_BANKEN_ONLINE_DATUM	10
305	D19_GESAMT_ANZ_12	0
312	D19_GESAMT_ANZ_24	0
328	D19_GESAMT_DATUM	10
338	D19_GESAMT_OFFLINE_DATUM	10
348	D19_GESAMT_ONLINE_DATUM	10
478	D19_TELKO_ANZ_12	0
485	D19_TELKO_ANZ_24	0
501	D19_TELKO_DATUM	10
519	D19_TELKO_OFFLINE_DATUM	10
529	D19_TELKO_ONLINE_DATUM	10
546	D19_VERSAND_ANZ_12	0
553	D19_VERSAND_ANZ_24	0
569	D19_VERSAND_DATUM	10
579	D19_VERSAND_OFFLINE_DATUM	10
589	D19_VERSAND_ONLINE_DATUM	10
617	D19_VERSI_ANZ_12	0
624	D19_VERSI_ANZ_24	0
765	KBA05_ALTER1	(-1, 9)
771	KBA05_ALTER2	(-1, 9)
777	KBA05_ALTER3	(-1, 9)
783	KBA05_ALTER4	(-1, 9)
790	KBA05_ANHANG	(-1, 9)
821	KBA05_AUTOQUOT	(-1, 9)
828	KBA05_CCM1	(-1, 9)
834	KBA05_CCM2	(-1, 9)
840	KBA05_CCM3	(-1, 9)
846	KBA05_CCM4	(-1, 9)
852	KBA05_DIESEL	(-1, 9)
858	KBA05_FRAU	(-1, 9)
870	KBA05_HERST1	(-1, 9)
877	KBA05_HERST2	(-1, 9)
884	KBA05_HERST3	(-1, 9)
891	KBA05_HERST4	(-1, 9)
898	KBA05_HERST5	(-1, 9)
905	KBA05_HERSTTEMP	(-1, 9)
911	KBA05_KRSAQUOT	(-1, 9)
917	KBA05_KRSHERST1	(-1, 9)
923	KBA05_KRSHERST2	(-1, 9)
929	KBA05_KRSHERST3	(-1, 9)
935	KBA05_KRSKLEIN	(-1, 9)
939	KBA05_KRSOBER	(-1, 9)
943	KBA05_KRSVAN	(-1, 9)
947	KBA05_KRSZUL	(-1, 9)
951	KBA05_KW1	(-1, 9)
957	KBA05_KW2	(-1, 9)
963	KBA05_KW3	(-1, 9)
969	KBA05_MAXAH	(-1, 9)
975	KBA05_MAXBJ	(-1, 9)
980	KBA05_MAXHERST	(-1, 9)
986	KBA05_MAXSEG	(-1, 9)
991	KBA05_MAXVORB	(-1, 9)
995	KBA05_MOD1	(-1, 9)
1001	KBA05_MOD2	(-1, 9)
1007	KBA05_MOD3	(-1, 9)
1013	KBA05_MOD4	(-1, 9)
1020	KBA05_MOD8	(-1, 9)
1025	KBA05_MODTEMP	(-1, 9)
1031	KBA05_MOTOR	(-1, 9)
1036	KBA05_MOTRAD	(-1, 9)
1041	KBA05_SEG1	(-1, 9)
1046	KBA05_SEG10	(-1, 9)
1052	KBA05_SEG2	(-1, 9)
1058	KBA05_SEG3	(-1, 9)
1064	KBA05_SEG4	(-1, 9)
1070	KBA05_SEG5	(-1, 9)
1076	KBA05_SEG6	(-1, 9)
1079	KBA05_SEG7	(-1, 9)
1084	KBA05_SEG8	(-1, 9)
1089	KBA05_SEG9	(-1, 9)
1094	KBA05_VORB0	(-1, 9)
1100	KBA05_VORB1	(-1, 9)
1106	KBA05_VORB2	(-1, 9)
1113	KBA05_ZUL1	(-1, 9)
1119	KBA05_ZUL2	(-1, 9)
1125	KBA05_ZUL3	(-1, 9)
1132	KBA05_ZUL4	(-1, 9)
1139	KBA13_ALTERHALTER_30	-1
1146	KBA13_ALTERHALTER_45	-1
1153	KBA13_ALTERHALTER_60	-1
1160	KBA13_ALTERHALTER_61	-1
1168	KBA13_AUDI	-1
1175	KBA13_AUTOQUOTE	-1
1182	KBA13_BJ_1999	-1
1189	KBA13_BJ_2000	-1
1196	KBA13_BJ_2004	-1
1203	KBA13_BJ_2006	-1
1210	KBA13_BJ_2008	-1
1217	KBA13_BJ_2009	-1
1224	KBA13_BMW	-1
1231	KBA13_CCM_1000	-1
1238	KBA13_CCM_1200	-1
1245	KBA13_CCM_1400	-1
1252	KBA13_CCM_0_1400	-1
1259	KBA13_CCM_1500	-1
1273	KBA13_CCM_1600	-1
1280	KBA13_CCM_1800	-1
1287	KBA13_CCM_2000	-1
1294	KBA13_CCM_2500	-1
1301	KBA13_CCM_2501	-1
1308	KBA13_CCM_3000	-1
1315	KBA13_CCM_3001	-1
1322	KBA13_FAB_ASIEN	-1
1329	KBA13_FAB_SONSTIGE	-1
1336	KBA13_FIAT	-1
1343	KBA13_FORD	-1
1350	KBA13_HALTER_20	-1
1357	KBA13_HALTER_25	-1
1364	KBA13_HALTER_30	-1
1371	KBA13_HALTER_35	-1
1378	KBA13_HALTER_40	-1
1385	KBA13_HALTER_45	-1
1392	KBA13_HALTER_50	-1
1399	KBA13_HALTER_55	-1
1406	KBA13_HALTER_60	-1
1413	KBA13_HALTER_65	-1
1420	KBA13_HALTER_66	-1
1427	KBA13_HERST_ASIEN	-1
1434	KBA13_HERST_AUDI_VW	-1
1441	KBA13_HERST_BMW_BENZ	-1
1448	KBA13_HERST_EUROPA	-1
1455	KBA13_HERST_FORD_OPEL	-1
1462	KBA13_HERST_SONST	-1
1469	KBA13_KMH_110	-1
1476	KBA13_KMH_140	-1
1483	KBA13_KMH_180	-1
1490	KBA13_KMH_0_140	-1
1497	KBA13_KMH_140_210	-1
1504	KBA13_KMH_211	-1
1511	KBA13_KMH_250	-1
1518	KBA13_KMH_251	-1
1525	KBA13_KRSAQUOT	-1
1532	KBA13_KRSHERST_AUDI_VW	-1
1539	KBA13_KRSHERST_BMW_BENZ	-1
1546	KBA13_KRSHERST_FORD_OPEL	-1
1553	KBA13_KRSSEG_KLEIN	-1
1558	KBA13_KRSSEG_OBER	-1
1563	KBA13_KRSSEG_VAN	-1
1568	KBA13_KRSZUL_NEU	-1
1573	KBA13_KW_30	-1
1580	KBA13_KW_40	-1
1587	KBA13_KW_50	-1
1594	KBA13_KW_60	-1
1601	KBA13_KW_0_60	-1
1608	KBA13_KW_70	-1
1615	KBA13_KW_61_120	-1
1622	KBA13_KW_80	-1
1629	KBA13_KW_90	-1
1636	KBA13_KW_110	-1
1643	KBA13_KW_120	-1
1650	KBA13_KW_121	-1
1657	KBA13_MAZDA	-1
1664	KBA13_MERCEDES	-1
1671	KBA13_MOTOR	-1
1677	KBA13_NISSAN	-1
1684	KBA13_OPEL	-1
1691	KBA13_PEUGEOT	-1
1698	KBA13_RENAULT	-1
1705	KBA13_SEG_GELAENDEWAGEN	-1
1712	KBA13_SEG_GROSSRAUMVANS	-1
1719	KBA13_SEG_KLEINST	-1
1726	KBA13_SEG_KLEINWAGEN	-1
1733	KBA13_SEG_KOMPAKTKLASSE	-1
1740	KBA13_SEG_MINIVANS	-1
1747	KBA13_SEG_MINIWAGEN	-1
1754	KBA13_SEG_MITTELKLASSE	-1
1761	KBA13_SEG_OBEREMITTELKLASSE	-1
1768	KBA13_SEG_OBERKLASSE	-1
1775	KBA13_SEG_SONSTIGE	-1
1782	KBA13_SEG_SPORTWAGEN	-1
1789	KBA13_SEG_UTILITIES	-1
1796	KBA13_SEG_VAN	-1
1803	KBA13_SEG_WOHNMOBILE	-1
1810	KBA13_SITZE_4	-1
1817	KBA13_SITZE_5	-1
1824	KBA13_SITZE_6	-1
1831	KBA13_TOYOTA	-1
1838	KBA13_VORB_0	-1
1845	KBA13_VORB_1	-1
1852	KBA13_VORB_1_2	-1
1859	KBA13_VORB_2	-1
1866	KBA13_VORB_3	-1
1873	KBA13_VW	-1
