	LNR	Cluster_ID
0	1763	7.0
1	1771	9.0
2	1776	3.0
3	1460	3.0
4	1783	8.0
5	1789	4.0
6	1795	9.0
7	1493	9.0
8	1801	10.0
9	1834	10.0
10	1838	10.0
11	2512	5.0
12	2513	9.0
13	2515	3.0
14	2198	2.0
15	2528	7.0
16	2216	10.0
17	2554	3.0
18	2227	10.0
19	2666	6.0
20	2678	9.0
21	11125	5.0
22	11440	9.0
23	11141	3.0
24	11461	9.0
25	10861	5.0
26	10879	3.0
27	11195	10.0
28	10891	3.0
29	11214	9.0
30	10928	7.0
31	11251	3.0
32	10955	2.0
33	10956	10.0
34	11268	9.0
35	10960	6.0
36	10971	9.0
37	10976	5.0
38	11287	5.0
39	11295	3.0
40	11299	3.0
41	10981	7.0
42	10986	7.0
43	11940	9.0
44	11941	9.0
45	11942	5.0
46	11954	9.0
47	11654	7.0
48	11976	10.0
49	11977	9.0
50	11667	3.0
51	11993	5.0
52	11692	9.0
53	12001	2.0
54	12013	3.0
55	11725	9.0
56	11731	5.0
57	12027	7.0
58	11744	2.0
59	11751	2.0
60	11767	5.0
61	12072	3.0
62	12078	10.0
63	11783	5.0
64	12088	5.0
65	11510	3.0
66	11830	3.0
67	11539	5.0
68	11847	3.0
69	11851	10.0
70	11852	9.0
71	11855	2.0
72	11858	3.0
73	11554	5.0
74	11866	2.0
75	11566	5.0
76	11568	9.0
77	11886	3.0
78	11594	3.0
79	11606	9.0
80	12585	7.0
81	12612	10.0
82	12623	9.0
83	12634	3.0
84	12636	2.0
85	21578	10.0
86	21481	6.0
87	21491	9.0
88	21178	5.0
89	21186	9.0
90	21511	3.0
91	21210	5.0
92	21551	10.0
93	21557	10.0
94	21249	3.0
95	20940	5.0
96	20957	9.0
97	21259	3.0
98	21277	9.0
99	21286	3.0
100	20997	3.0
101	21305	3.0
102	21314	10.0
103	20999	5.0
104	21000	3.0
105	21001	3.0
106	21325	9.0
107	21329	9.0
108	21333	3.0
109	21027	7.0
110	21339	6.0
111	21043	9.0
112	21044	3.0
113	21049	10.0
114	21359	3.0
115	21360	10.0
116	21364	10.0
117	21375	9.0
118	21064	10.0
119	21398	2.0
120	22029	10.0
121	22038	9.0
122	21731	10.0
123	21736	9.0
124	22040	10.0
125	61262	10.0
126	61574	4.0
127	61575	9.0
128	61904	8.0
129	61905	7.0
130	62217	7.0
131	62232	4.0
132	62537	6.0
133	62868	10.0
134	63185	10.0
135	63192	9.0
136	63507	10.0
137	63820	3.0
138	64776	6.0
139	65416	9.0
140	65747	5.0
141	61599	6.0
142	62252	2.0
143	62882	9.0
144	63205	10.0
145	63836	5.0
146	64167	10.0
147	64171	3.0
148	64482	9.0
149	64795	7.0
150	64796	9.0
151	65124	9.0
152	65437	9.0
153	75247	10.0
154	75569	10.0
155	75890	6.0
156	75892	10.0
157	71424	9.0
158	71754	9.0
159	72376	3.0
160	72382	5.0
161	72394	8.0
162	73021	4.0
163	73024	8.0
164	73989	10.0
165	74301	10.0
166	74633	5.0
167	75579	3.0
168	75916	9.0
169	71440	9.0
170	15460	8.0
171	15463	7.0
172	15464	9.0
173	15467	3.0
174	15471	0.0
175	15885	10.0
176	15892	10.0
177	15479	5.0
178	15792	8.0
179	15796	2.0
180	15802	7.0
181	15816	3.0
182	15528	7.0
183	24694	9.0
184	24404	4.0
185	24102	8.0
186	24104	3.0
187	24425	9.0
188	24430	7.0
189	24451	9.0
190	24151	9.0
191	24460	10.0
192	24463	9.0
193	24159	10.0
194	24171	5.0
195	24174	4.0
196	24189	10.0
197	24196	6.0
198	24497	3.0
199	24201	10.0
200	24526	3.0
201	24536	7.0
202	24864	7.0
203	24865	3.0
204	24866	5.0
205	25211	3.0
206	24902	7.0
207	24913	3.0
208	24921	7.0
209	25337	10.0
210	25350	7.0
211	24938	7.0
212	24939	3.0
213	24955	7.0
214	25257	6.0
215	25262	3.0
216	24969	10.0
217	25288	8.0
218	25305	10.0
219	25002	9.0
220	25015	7.0
221	25331	9.0
222	25332	3.0
223	25051	3.0
224	25065	6.0
225	24765	9.0
226	24793	3.0
227	25105	10.0
228	24799	7.0
229	25123	7.0
230	24831	9.0
231	82808	3.0
232	83122	7.0
233	83131	5.0
234	83777	9.0
235	84411	5.0
236	84420	3.0
237	84736	9.0
238	84739	7.0
239	85041	3.0
240	85371	3.0
241	85691	3.0
242	85695	3.0
243	81546	10.0
244	81557	10.0
245	82192	8.0
246	82513	9.0
247	83157	10.0
248	83461	3.0
249	1086	10.0
250	1095	9.0
251	798	8.0
252	1139	5.0
253	854	7.0
254	1165	7.0
255	1192	7.0
256	1195	9.0
257	1200	10.0
258	1211	7.0
259	1219	8.0
260	1220	3.0
261	908	5.0
262	1238	2.0
263	1554	3.0
264	1862	1.0
265	1875	9.0
266	1878	3.0
267	1574	0.0
268	1906	2.0
269	2023	7.0
270	2027	9.0
271	1639	10.0
272	1641	2.0
273	1973	10.0
274	1698	7.0
275	1989	3.0
276	1994	3.0
277	1703	2.0
278	2004	9.0
279	2009	5.0
280	2017	9.0
281	1428	5.0
282	41707	3.0
283	41713	3.0
284	42025	3.0
285	42031	10.0
286	42355	3.0
287	42669	2.0
288	43307	8.0
289	43321	6.0
290	43950	2.0
291	44266	5.0
292	45242	10.0
293	45252	10.0
294	45567	10.0
295	40750	10.0
296	40754	7.0
297	40759	3.0
298	40764	10.0
299	41408	3.0
300	41410	2.0
301	41737	9.0
302	42378	10.0
303	42685	9.0
304	51650	8.0
305	51656	9.0
306	52630	9.0
307	52633	5.0
308	53279	3.0
309	53281	9.0
310	53602	2.0
311	53914	10.0
312	53915	9.0
313	54233	3.0
314	54241	3.0
315	55193	3.0
316	55204	6.0
317	55518	5.0
318	55519	9.0
319	55831	2.0
320	55845	9.0
321	51669	3.0
322	51670	6.0
323	51990	5.0
324	51995	7.0
325	52002	10.0
326	52318	9.0
327	52642	10.0
328	52965	6.0
329	53300	8.0
330	53613	3.0
331	53935	5.0
332	53936	9.0
333	53939	9.0
334	54252	3.0
335	54574	9.0
336	54575	9.0
337	54576	10.0
338	54895	3.0
339	54896	9.0
340	54898	9.0
341	55228	9.0
342	81859	5.0
343	82167	3.0
344	82486	10.0
345	55853	3.0
346	55854	9.0
347	51035	3.0
348	51038	10.0
349	51684	3.0
350	52023	10.0
351	52345	3.0
352	52660	3.0
353	52666	10.0
354	52981	3.0
355	53626	3.0
356	53630	10.0
357	53640	3.0
358	53953	9.0
359	53957	3.0
360	53961	9.0
361	54266	9.0
362	54591	6.0
363	54601	10.0
364	55888	10.0
365	51056	10.0
366	51064	7.0
367	51380	7.0
368	51390	5.0
369	52032	1.0
370	52049	8.0
371	53003	9.0
372	53017	6.0
373	53018	3.0
374	53330	9.0
375	63776	7.0
376	64750	3.0
377	65072	3.0
378	66016	10.0
379	61237	10.0
380	61238	10.0
381	61567	7.0
382	61881	6.0
383	62197	8.0
384	62202	7.0
385	63160	2.0
386	63170	10.0
387	64758	9.0
388	65398	9.0
389	65400	3.0
390	65714	5.0
391	65721	5.0
392	65733	7.0
393	71761	3.0
394	71766	7.0
395	72399	3.0
396	72411	10.0
397	72729	6.0
398	72730	10.0
399	73043	7.0
400	73691	10.0
401	74327	5.0
402	74968	9.0
403	74973	3.0
404	75282	10.0
405	75283	3.0
406	75287	9.0
407	75598	10.0
408	75600	10.0
409	75602	10.0
410	75603	3.0
411	75920	5.0
412	75934	9.0
413	76245	3.0
414	71466	7.0
415	71469	5.0
416	71791	5.0
417	72101	7.0
418	72114	7.0
419	72746	9.0
420	73057	1.0
421	73067	2.0
422	73377	10.0
423	73704	7.0
424	74021	3.0
425	74657	9.0
426	74659	7.0
427	74664	10.0
428	74673	3.0
429	74676	3.0
430	74977	5.0
431	74978	10.0
432	75297	7.0
433	75300	3.0
434	75631	9.0
435	75939	9.0
436	75943	2.0
437	71491	10.0
438	71797	9.0
439	72118	8.0
440	72121	3.0
441	72125	9.0
442	72133	7.0
443	82140	9.0
444	82467	10.0
445	83100	8.0
446	83423	3.0
447	83432	9.0
448	83437	6.0
449	83749	10.0
450	83752	3.0
451	84062	5.0
452	84072	9.0
453	84080	10.0
454	84391	10.0
455	84703	6.0
456	85035	10.0
457	85040	1.0
458	85342	10.0
459	85666	9.0
460	85675	3.0
461	34833	6.0
462	34836	7.0
463	34840	7.0
464	35189	9.0
465	35195	8.0
466	35197	9.0
467	34880	7.0
468	35215	9.0
469	35225	6.0
470	34924	2.0
471	35255	10.0
472	35259	0.0
473	35595	8.0
474	35908	9.0
475	35924	9.0
476	41026	9.0
477	41342	9.0
478	41343	9.0
479	41672	8.0
480	42309	10.0
481	42623	5.0
482	42629	7.0
483	42639	8.0
484	42942	9.0
485	43265	3.0
486	43270	7.0
487	43586	8.0
488	44235	9.0
489	44242	10.0
490	45214	10.0
491	41047	9.0
492	41364	8.0
493	41687	7.0
494	41689	9.0
495	41692	10.0
496	42015	3.0
497	42327	10.0
498	42332	3.0
499	42336	7.0
500	42648	3.0
501	42655	10.0
502	42657	3.0
503	42981	3.0
504	43293	8.0
505	43602	10.0
506	43925	9.0
507	44901	3.0
508	40738	7.0
509	41065	5.0
510	41384	7.0
511	4334	9.0
512	4351	7.0
513	4366	3.0
514	5024	9.0
515	5036	9.0
516	5042	9.0
517	4729	7.0
518	4746	3.0
519	5097	7.0
520	4779	1.0
521	5195	9.0
522	4809	3.0
523	4862	4.0
524	5176	5.0
525	4879	10.0
526	4891	7.0
527	4902	7.0
528	4610	9.0
529	4962	3.0
530	4651	10.0
531	4969	6.0
532	4970	8.0
533	4974	3.0
534	4669	8.0
535	4996	10.0
536	5003	8.0
537	5012	7.0
538	5021	7.0
539	5330	10.0
540	5336	8.0
541	5337	8.0
542	5643	8.0
543	5659	7.0
544	5354	5.0
545	5678	7.0
546	5381	10.0
547	5690	8.0
548	5692	2.0
549	5444	6.0
550	10269	9.0
551	925	3.0
552	1263	3.0
553	1269	2.0
554	1277	9.0
555	1280	2.0
556	1282	8.0
557	1285	7.0
558	1308	3.0
559	1312	7.0
560	1314	6.0
561	984	7.0
562	1018	2.0
563	1336	10.0
564	1339	9.0
565	1036	2.0
566	1343	3.0
567	1348	9.0
568	1050	10.0
569	1056	2.0
570	1060	3.0
571	1369	10.0
572	1371	7.0
573	1386	2.0
574	1389	5.0
575	9646	3.0
576	9651	8.0
577	9963	2.0
578	9972	3.0
579	9974	3.0
580	9698	3.0
581	10014	3.0
582	10018	9.0
583	9711	3.0
584	10037	9.0
585	9728	7.0
586	9739	3.0
587	10713	3.0
588	10405	7.0
589	10423	3.0
590	10846	3.0
591	10441	10.0
592	10443	10.0
593	10459	3.0
594	10460	10.0
595	10758	10.0
596	10462	10.0
597	10470	3.0
598	10475	5.0
599	10476	5.0
600	10764	9.0
601	10770	9.0
602	10773	3.0
603	10779	3.0
604	10487	8.0
605	10791	10.0
606	10502	5.0
607	10519	8.0
608	10808	3.0
609	10809	3.0
610	10819	3.0
611	10545	9.0
612	10552	10.0
613	31118	7.0
614	31128	3.0
615	31137	7.0
616	31459	7.0
617	31461	7.0
618	31465	10.0
619	31790	2.0
620	32109	2.0
621	32115	3.0
622	31810	7.0
623	32135	7.0
624	31827	7.0
625	31829	9.0
626	31848	3.0
627	31856	9.0
